date,ticker,quality_pass,passed_tradability_filter,tradability_exclusion_reason,exclusion_reason,final_exclusion_reason,warning,local_ohlcv_available,yahoo_fetch_attempted,yahoo_fetch_success,latest_price,median_20d_dollar_volume,median_60d_dollar_volume,avg_volume_20d,market_cap,history_days,trading_history_days,max_abs_1d_move_60d,realized_vol_20d_ann,realized_vol_60d,missing_ohlcv_ratio,suspicious_spike_gap
2026-08-13,SNAP,False,False,current price below $5,price below $5; current price below $5,price below $5; current price below $5,,True,False,False,4.659999847412109,220215464.75057602,246797993.25447083,45488610.0,,2338,2338,0.14427858867113197,0.6472244812600516,0.7160874436462371,0.0,False
2026-08-13,JMIA,False,False,"median 60D dollar volume below $50,000,000","median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000","median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000",,True,False,False,7.039999961853027,11226224.197506905,12258878.564929962,1950040.0,,1806,1806,0.1675603208589922,0.5741614212343741,0.7073509088844698,0.0,False
2026-08-13,SPCE,False,False,"median 60D dollar volume below $50,000,000; current price below $5; 60D annualized volatility above 120%","price below $5; 20D realized volatility above 150% annualized; median 60D dollar volume below $50,000,000; current price below $5; 60D annualized volatility above 120%","price below $5; 20D realized volatility above 150% annualized; median 60D dollar volume below $50,000,000; current price below $5; 60D annualized volatility above 120%",,True,False,False,3.559999942779541,159542926.9322157,34646968.08550358,72637905.0,,2191,2191,0.3896276377353963,2.7526737513032367,1.8239162039318197,0.0,False
2026-08-13,ASTS,False,False,60D annualized volatility above 120%,60D annualized volatility above 120%,60D annualized volatility above 120%,,True,False,False,80.66000366210938,2474163202.1545415,1683414922.114563,28352760.0,,1665,1665,0.15528899421492326,1.4054864280576855,1.2065269241572185,0.0,False
2026-08-13,KEEL,False,False,current price below $5,price below $5; current price below $5,price below $5; current price below $5,,True,False,False,4.795000076293945,130898635.97259521,190616129.247427,35751023.6,,1742,1742,0.16713878723829767,0.9637145983526207,0.9923215200212451,0.0,False
2026-08-13,EC,False,False,"median 60D dollar volume below $50,000,000","median 60D dollar volume below $50,000,000","median 60D dollar volume below $50,000,000",,True,False,False,16.579999923706055,48235669.42682266,38567843.90563965,3229310.0,,4465,4465,0.1122519084094038,0.5793780362399432,0.4842528316476715,0.0,False
2026-08-13,SMCI,False,False,60D annualized volatility above 120%,60D annualized volatility above 120%,60D annualized volatility above 120%,,True,False,False,29.809999465942383,1036552450.421524,1449240412.1061327,47909010.0,,4862,4862,0.27977359996665896,0.9597799965618022,1.2091890035559487,0.0,False
2026-08-13,AACG,False,False,"median 60D dollar volume below $50,000,000; current price below $5","price below $5; median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000; current price below $5","price below $5; median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000; current price below $5",,True,False,False,1.059999942779541,2903.999984264374,4401.999980211258,640853.95,,753,753,0.16483506838519313,0.741659830705929,0.6613640479065236,0.0,False
2026-08-13,AAOI,False,False,less than 2 years of trading history; 60D annualized volatility above 120%,20D realized volatility above 150% annualized; less than 2 years of trading history; 60D annualized volatility above 120%,20D realized volatility above 150% annualized; less than 2 years of trading history; 60D annualized volatility above 120%,,True,False,False,128.35000610351562,944668515.2072906,1645661637.8051758,9433729.45,,502,502,0.19435628324361076,1.635440850791863,1.453805138982982,0.0,False
2026-08-13,AARD,False,False,"median 60D dollar volume below $50,000,000; 20D average volume below 500,000 shares; 60D annualized volatility above 120%","median 20D dollar volume below $20,000,000; 20D realized volatility above 150% annualized; suspicious spike/gap behavior; missing OHLCV data above 5%; median 60D dollar volume below $50,000,000; 20D average volume below 500,000 shares; 60D annualized volatility above 120%","median 20D dollar volume below $20,000,000; 20D realized volatility above 150% annualized; suspicious spike/gap behavior; missing OHLCV data above 5%; median 60D dollar volume below $50,000,000; 20D average volume below 500,000 shares; 60D annualized volatility above 120%",,True,False,False,6.690000057220459,1223042.487001419,781684.0016007423,426390.0,,774,774,0.5199999809265137,2.1746282365104634,1.556552932470436,0.5310077519379846,True
2026-08-13,ABCL,False,False,"median 60D dollar volume below $50,000,000","median 60D dollar volume below $50,000,000","median 60D dollar volume below $50,000,000",,True,False,False,6.650000095367432,34600366.58422947,32006422.722005844,6891252.35,,753,753,0.12839505097212367,0.9398288066171369,0.8308907393865207,0.0,False
2026-08-13,ABEO,False,False,"median 60D dollar volume below $50,000,000","median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000","median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000",,True,False,False,7.119999885559082,8827384.529209137,5850222.953367233,1533593.65,,753,753,0.09576427207468519,0.45880303369141073,0.47072692953245293,0.0,False
2026-08-13,ABSI,False,False,"median 60D dollar volume below $50,000,000","median 60D dollar volume below $50,000,000","median 60D dollar volume below $50,000,000",,True,False,False,8.399999618530273,31796149.278879166,21561190.30189514,5401394.7,,752,752,0.23569024947493733,1.3374598903834654,1.1046681396124989,0.0,False
2026-08-13,ABTC,False,False,"median 60D dollar volume below $50,000,000; 60D annualized volatility above 120%; reverse split/extreme discontinuity suspected","median 20D dollar volume below $20,000,000; 1D absolute move above 80% in last 60D; suspicious spike/gap behavior; median 60D dollar volume below $50,000,000; 60D annualized volatility above 120%; reverse split/extreme discontinuity suspected","median 20D dollar volume below $20,000,000; 1D absolute move above 80% in last 60D; suspicious spike/gap behavior; median 60D dollar volume below $50,000,000; 60D annualized volatility above 120%; reverse split/extreme discontinuity suspected",,True,False,False,6.399099826812744,8450791.929149628,10042813.997840881,1408713.05,,773,773,13.937326545709087,1.063772305287789,28.37122790606529,0.0,True
