file,check,matched,match_count,evidence
current_growth_feature_generation.py,hardcoded_40_or_floor,True,5,"29: MIN_EXPOSURE = 0.40 | 130: cap = 0.40 | 183: return float(np.clip(exposure, MIN_EXPOSURE, MAX_EXPOSURE)) if np.isfinite(exposure) and exposure > 0 else 1.0 | 211: raw = float(np.clip(raw, MIN_EXPOSURE, MAX_EXPOSURE)) | 213: exposure = float(np.clip(previous + change, MIN_EXPOSURE, MAX_EXPOSURE))"
current_growth_feature_generation.py,volatility_target,True,14,"15: GROWTH_DAILY_FILE = ""growth_volatility_targeting_daily_returns.csv"" | 28: TARGET_VOL = 0.22 | 41: ""volatility_target"": TARGET_VOL, | 210: raw = TARGET_VOL / rolling_vol | 307: df[""volatility_target_exposure""] = final_exposure | 308: df[""uncapped_volatility_target_exposure""] = uncapped_exposure | 309: df[""raw_volatility_target_exposure""] = raw_exposure | 423: ""volatility_target_exposure"", | 424: ""uncapped_volatility_target_exposure"", | 425: ""raw_volatility_target_exposure"", | 494: ""volatility_target_exposure"", | 495: ""uncapped_volatility_target_exposure"","
current_growth_feature_generation.py,exposure_cap,True,16,"39: ""active_variant"": ""growth_v1_exposure_cap_60_dual_trend_filter"", | 42: ""exposure_cap"": 0.60, | 56: def _configured_exposure_cap() -> float: | 58: cap = float(cfg.get(""exposure_cap"", 0.60)) | 299: exposure_cap = _configured_exposure_cap() | 303: final_exposure = float(np.clip(min(uncapped_exposure, exposure_cap, dual_trend_cap), 0.0, 1.0)) | 310: df[""exposure_cap""] = exposure_cap | 311: df[""exposure_cap_60""] = exposure_cap | 322: df[""growth_paper_variant""] = str(cfg.get(""active_variant"", ""growth_v1_exposure_cap_60_dual_trend_filter"")) | 426: ""exposure_cap"", | 427: ""exposure_cap_60"", | 496: ""exposure_cap"","
current_growth_feature_generation.py,dual_trend,True,30,"39: ""active_variant"": ""growth_v1_exposure_cap_60_dual_trend_filter"", | 107: f""{ticker.lower()}_below_200d"": False, | 116: f""{ticker.lower()}_below_200d"": below, | 121: def _dual_trend_filter(date: pd.Timestamp) -> dict[str, object]: | 124: spy_below = bool(spy.get(""spy_below_200d"", False)) | 125: qqq_below = bool(qqq.get(""qqq_below_200d"", False)) | 128: reason = ""SPY and QQQ below 200D MA"" | 131: reason = ""one of SPY/QQQ below 200D MA"" | 134: reason = ""SPY and QQQ above 200D MA"" | 135: return {**spy, **qqq, ""dual_trend_cap"": cap, ""dual_trend_reason"": reason} | 300: dual_trend = _dual_trend_filter(date) | 301: dual_trend_cap = float(dual_trend[""dual_trend_cap""])"
current_growth_feature_generation.py,cash_forced,True,5,"304: cash = 1.0 - final_exposure | 318: df[""cash_weight""] = cash | 439: ""cash_weight"", | 508: ""cash_weight"", | 571: ""cash_weight"": cash,"
current_growth_feature_generation.py,min_vs_max_logic,True,10,"59: return float(np.clip(cap, 0.0, 1.0)) | 142: latest_date = forecast[""date""].max() | 169: latest = state[state[""date""].eq(state[""date""].max())].copy() | 180: latest = state[state[""date""].eq(state[""date""].max())].copy() | 183: return float(np.clip(exposure, MIN_EXPOSURE, MAX_EXPOSURE)) if np.isfinite(exposure) and exposure > 0 else 1.0 | 211: raw = float(np.clip(raw, MIN_EXPOSURE, MAX_EXPOSURE)) | 212: change = float(np.clip(raw - previous, -MAX_EXPOSURE_CHANGE, MAX_EXPOSURE_CHANGE)) | 213: exposure = float(np.clip(previous + change, MIN_EXPOSURE, MAX_EXPOSURE)) | 221: date = pd.Timestamp(latest[""date""].max()) | 303: final_exposure = float(np.clip(min(uncapped_exposure, exposure_cap, dual_trend_cap), 0.0, 1.0))"
growth_candidate_paper_trading.py,hardcoded_40_or_floor,False,0,
growth_candidate_paper_trading.py,volatility_target,True,6,"20: GROWTH_DAILY_FILE = ""growth_volatility_targeting_daily_returns.csv"" | 23: GROWTH_EXPOSURE_FILE = ""growth_volatility_targeting_exposure.csv"" | 46: ""volatility_target"": 0.22, | 178: for col in [""current_price"", ""raw_target_return"", ""raw_target_return_exact"", ""raw_expected_daily_return_exact"", ""raw_target_rank"", ""final_growth_weight"", ""cash_weight"", ""vol_target_exposure"", ""volatility_target_exposure"", ""uncapped_volatility_target_exposure"", ""exposure_cap"", ""exposure_cap_60"", ""dual_trend_cap"", ""final_exposure"", ""spy_close"", ""spy_ma_200"", ""qqq_close"", ""qqq_ma_200""]: | 199: vol_target_exposure = float(_num(allocation.get(""vol_target_exposure"", allocation.get(""uncapped_volatility_target_exposure"", pd.Series([exposure])))).dropna().iloc[0]) if len(allocation) else exposure | 421: ""Definition: raw_target_return_exact + soft_exit_rule + volatility_target_22pct + exposure_cap_60, no leverage.\n"""
growth_candidate_paper_trading.py,exposure_cap,True,25,"14: CANDIDATE_VARIANT = ""growth_v1_exposure_cap_60_dual_trend_filter"" | 47: ""exposure_cap"": 0.60, | 63: def _exposure_cap() -> float: | 65: return float(np.clip(float(cfg.get(""exposure_cap"", 0.60)), 0.0, float(cfg.get(""max_leverage"", 1.0)))) | 178: for col in [""current_price"", ""raw_target_return"", ""raw_target_return_exact"", ""raw_expected_daily_return_exact"", ""raw_target_rank"", ""final_growth_weight"", ""cash_weight"", ""vol_target_exposure"", ""volatility_target_exposure"", ""uncapped_volatility_target_exposure"", ""exposure_cap"", ""exposure_cap_60"", ""dual_trend_cap"", ""final_exposure"", ""spy_close"", ""spy_ma_200"", ""qqq_close"", ""qqq_ma_200""]: | 197: cap = _exposure_cap() | 220: ""exposure_cap"": cap, | 221: ""exposure_cap_60"": cap, | 395: ""reason"": ""growth_v1_exposure_cap_60; raw_target exact + soft_exit + vol_target_22pct + exposure_cap_60; CAGR 30.30%, Sharpe 1.341, Sortino 2.266, max DD -19.76%; growth_champion_v2"", | 421: ""Definition: raw_target_return_exact + soft_exit_rule + volatility_target_22pct + exposure_cap_60, no leverage.\n"" | 439: {""section"": ""Growth Candidate"", ""metric"": ""growth_candidate_exposure_cap"", ""value"": ""0.60""}, | 462: configured_cap = _exposure_cap()"
growth_candidate_paper_trading.py,dual_trend,True,37,"14: CANDIDATE_VARIANT = ""growth_v1_exposure_cap_60_dual_trend_filter"" | 178: for col in [""current_price"", ""raw_target_return"", ""raw_target_return_exact"", ""raw_expected_daily_return_exact"", ""raw_target_rank"", ""final_growth_weight"", ""cash_weight"", ""vol_target_exposure"", ""volatility_target_exposure"", ""uncapped_volatility_target_exposure"", ""exposure_cap"", ""exposure_cap_60"", ""dual_trend_cap"", ""final_exposure"", ""spy_close"", ""spy_ma_200"", ""qqq_close"", ""qqq_ma_200""]: | 198: dual_trend_cap = float(_num(allocation.get(""dual_trend_cap"", pd.Series([cap]))).dropna().iloc[0]) if ""dual_trend_cap"" in allocation.columns and not _num(allocation[""dual_trend_cap""]).dropna().empty else cap | 200: final_exposure = float(_num(allocation.get(""final_exposure"", pd.Series([exposure]))).dropna().iloc[0]) if ""final_exposure"" in allocation.columns and not _num(allocation[""final_exposure""]).dropna().empty else min(exposure, cap, dual_trend_cap) | 222: ""dual_trend_cap"": dual_trend_cap, | 229: ""spy_below_200d"": bool(allocation.get(""spy_below_200d"", pd.Series([False])).iloc[0]) if ""spy_below_200d"" in allocation.columns else False, | 230: ""qqq_below_200d"": bool(allocation.get(""qqq_below_200d"", pd.Series([False])).iloc[0]) if ""qqq_below_200d"" in allocation.columns else False, | 231: ""dual_trend_reason"": str(allocation.get(""dual_trend_reason"", pd.Series([""""])).iloc[0]) if ""dual_trend_reason"" in allocation.columns else """", | 463: dual_trend_cap = float(latest.get(""dual_trend_cap"", configured_cap)) | 466: exposure = float(np.clip(min(vol_target_exposure, uncapped_exposure, configured_cap, dual_trend_cap), 0.0, 1.0)) | 472: spy_below_200d = bool(latest.get(""spy_below_200d"", False)) | 473: qqq_below_200d = bool(latest.get(""qqq_below_200d"", False))"
